,City,Latitude,Temperature,Cloudiness,Windspeed,Humidity
0,busselton,-33.64,9.76,5,12.18,64.0
1,provideniya,64.42,13,75,4,62.0
2,hasaki,35.73,27.25,75,4.1,88.0
3,camden,39.94,25.49,40,1.5,94.0
4,virginia beach,36.85,23.59,90,5.1,94.0
5,sukpak,51.65,21.33,7,1.34,40.0
6,necochea,-38.55,1.67,0,0.89,94.0
7,kapaa,22.08,30.34,40,6.7,62.0
8,cape town,-33.93,12.59,0,3.1,93.0
9,carnarvon,-30.97,13.23,0,3.64,28.0
10,cangzhou,38.3,29.6,13,4.11,36.0
11,nanakuli,21.39,30.52,40,4.6,58.0
12,sao jose da coroa grande,-8.9,20.41,51,1.99,95.0
14,faanui,-16.48,25.49,7,5.65,74.0
15,te anau,-45.41,6.87,41,1.93,83.0
16,tazovskiy,67.47,10.83,75,2.7,72.0
17,xai-xai,-25.04,13.39,0,0.87,92.0
18,port blair,11.67,28.25,100,11.97,80.0
19,bayir,37.27,30,0,4.1,35.0
20,airai,-8.93,28.84,22,2.97,44.0
21,touros,-5.2,23,20,1.5,88.0
23,bredasdorp,-34.53,8.91,29,0.5,93.0
24,rikitea,-23.12,22.81,76,8.64,83.0
25,lebu,8.96,15,75,1,93.0
26,geraldton,49.72,13,90,2.6,76.0
27,umea,63.83,15,100,2.1,93.0
28,khndzoresk,39.51,12.19,0,1.84,34.0
29,oxapampa,-10.58,11.84,96,0.17,88.0
31,punta arenas,-53.16,1.82,75,1,93.0
32,yellowknife,62.45,8.94,75,7.2,87.0
34,tasiilaq,65.61,5,100,2.1,80.0
35,grand gaube,-20.01,20.27,75,2.1,94.0
36,tual,-5.67,25.04,67,7.61,84.0
37,sebaste,11.59,27.66,100,6.71,79.0
38,ust-nera,64.57,20.62,61,1.2,40.0
39,san patricio,-26.98,9.86,0,2.31,96.0
40,arraial do cabo,-22.97,18.73,100,4.15,75.0
41,mahebourg,-20.41,20.33,75,2.1,94.0
42,juba,57.82,11.78,100,3.1,87.0
43,esperance,-33.86,12,90,7.7,93.0
44,hobart,-42.88,10.97,20,6.2,53.0
45,nago,45.88,20.38,40,1.5,78.0
46,chokurdakh,70.62,13.12,99,2.33,67.0
47,hithadhoo,-0.6,28.14,100,1.17,68.0
49,ribeira grande,38.52,22.82,0,2.48,89.0
50,sayla,-15.32,8.27,70,1.83,22.0
52,dikson,73.51,8.05,99,6.6,82.0
53,vestmanna,62.16,11,0,1.5,81.0
54,avarua,-21.21,26,0,8.2,65.0
55,ostrovnoy,68.05,9.75,99,4.46,95.0
56,ushuaia,-54.81,4,20,0.71,80.0
57,nikolskoye,59.7,12.64,0,3,82.0
58,hamilton,43.26,18.86,20,3.1,67.0
59,ambon,47.55,15.37,0,4.1,93.0
60,norman wells,65.28,14,20,5.7,44.0
61,bambous virieux,-20.34,20.32,75,2.1,94.0
62,port alfred,-33.59,16.11,17,0.89,92.0
63,new norfolk,-42.78,10.97,20,6.2,53.0
64,thompson,55.74,18,20,2.6,52.0
65,la rioja,-29.41,9.31,0,2.18,54.0
66,sibu,2.29,27.87,75,1.5,78.0
67,mataura,-46.19,10,53,5.36,85.0
68,kaeo,-35.1,12.47,100,3.36,100.0
69,loandjili,-4.77,23,75,2.6,94.0
70,tuy hoa,13.08,31.5,100,4.74,49.0
72,ambilobe,-13.19,22.64,36,4.45,73.0
73,luena,-11.78,9.46,0,1.81,62.0
75,san cristobal,14.68,20.25,53,2.65,82.0
76,bluff,-23.58,22.52,0,6.27,40.0
77,sao filipe,14.9,24.66,99,3.58,73.0
78,luganville,-15.51,27,75,2.1,74.0
79,shar,7.3,22.46,100,1.7,96.0
80,itarema,-2.92,22.16,1,1.78,92.0
81,albany,42.65,19.87,75,4.1,49.0
82,la ciotat,43.17,18.96,0,2.1,88.0
83,butaritari,3.07,29.46,100,4.54,70.0
84,havoysund,71,7,75,4.1,81.0
85,kodiak,39.95,22.88,1,2.1,73.0
86,saint-augustin,45.63,19.78,20,1.5,68.0
87,hermanus,-34.42,11.36,41,0.45,96.0
88,sur,22.57,28.6,0,3.02,53.0
90,qiyang,26.59,33.17,0,3.75,52.0
91,chimbote,-9.08,14.83,2,3.27,93.0
92,abu samrah,35.3,21.24,0,3.48,69.0
93,hilo,19.71,27.32,90,3.6,66.0
95,seoul,37.57,26.63,1,1,69.0
96,rio grande,-32.03,8.33,0,1.54,96.0
97,manokwari,-0.87,27.19,4,2.91,71.0
98,atuona,-9.8,26.45,14,8.1,71.0
99,iqaluit,63.75,10,20,5.7,57.0
100,dunedin,-45.87,10.56,1,5.81,69.0
102,mount gambier,-37.83,11,90,6.7,71.0
103,saint-philippe,45.36,19.76,1,5.1,49.0
104,poum,41.28,16.2,13,1.45,63.0
105,barrow,-38.31,6.68,0,2.14,72.0
106,georgetown,6.8,26.4,20,2.1,83.0
107,shimoda,34.7,25.9,75,7.7,100.0
108,milos,36.75,25.54,0,11.83,75.0
